종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
레인보우로보틱스,0.6188,0.8215,0.5877,0.4489,1.95,1248
덕산네오룩스,0.6184,0.8392,0.6092,0.4087,0.9,92
피델릭스,0.6183,0.6417,0.463,0.752,2.14,227
케이티,0.6177,0.7984,0.6261,0.4305,0.54,306
E1,0.6173,0.6771,0.5378,0.639,0.98,13
디엔에프,0.6171,0.9074,0.591,0.3549,1.32,18
저스템,0.6164,0.2589,0.7223,0.8699,2.14,249
한화엔진,0.6164,0.5967,0.5288,0.7255,1.8,560
솔루엠,0.6158,0.8801,0.6379,0.3311,1.1,77
SK,0.6155,0.3065,0.6339,0.908,2.11,1631
LS티라유텍,0.6155,0.9019,0.4715,0.4748,1.01,13
다우데이타,0.615,0.9346,0.5763,0.3358,0.71,27
현대오토에버,0.6149,0.5817,0.6115,0.6533,2.25,2385
메카로,0.6138,0.2153,0.7057,0.9223,2.08,22
에코프로비엠,0.6135,0.9387,0.4821,0.4217,1.55,1391
JW중외제약,0.6128,0.6989,0.7483,0.3931,0.92,17
센서뷰,0.6117,0.9564,0.2199,0.6608,1.4,192
파라다이스,0.6111,0.8583,0.6091,0.3678,0.51,122
헬릭스미스,0.6111,0.4932,0.5777,0.7643,1.71,33
화신,0.6101,0.6104,0.7375,0.4843,1.08,99
코세스,0.609,0.1975,0.7559,0.8753,2.49,58
지투지바이오,0.6082,0.7548,0.3334,0.7384,1.45,131
두산테스나,0.6082,0.8147,0.5016,0.5102,2.89,669
계양전기,0.6065,0.3406,0.5943,0.8862,2.28,124
미스토홀딩스,0.6062,0.7589,0.6332,0.4285,0.69,94
에스엘,0.6055,0.4755,0.7421,0.6008,1.75,195
자화전자,0.6054,0.5313,0.6921,0.5947,2.27,100
지노믹트리,0.6046,0.9414,0.5554,0.3188,0.58,15
헥토파이낸셜,0.6034,0.6635,0.6314,0.517,1.15,80
천일고속,0.6031,0.921,0.1762,0.7139,2.4,139
선진,0.6031,0.4741,0.8219,0.515,0.35,13
코미팜,0.6027,0.9305,0.5927,0.2868,1.07,27
코데즈컴바인,0.6026,0.4782,0.7041,0.6274,1.13,43
녹십자,0.6021,0.7084,0.6228,0.4768,0.39,93
한전KPS,0.6017,0.97,0.6863,0.1505,0.4,102
NC,0.6012,0.7044,0.6582,0.4428,1.26,556
신한지주,0.6011,0.7766,0.3636,0.6649,1.68,1631
디아이티,0.6002,0.47,0.7186,0.6138,1.28,52
신세계,0.6,0.5259,0.624,0.6519,2.89,721
LG이노텍,0.5992,0.5218,0.6154,0.6621,3.21,7872
파두,0.5981,0.6199,0.3615,0.8147,3.19,1852
미래반도체,0.5974,0.4714,0.5044,0.8181,1.9,124
케이엔솔,0.5971,0.6757,0.6656,0.4516,0.37,25
에이팩트,0.5965,0.5599,0.4711,0.7602,1.97,124
드림텍,0.5964,0.9332,0.6896,0.1683,0.35,44
엘티씨,0.595,0.1308,0.7277,0.9285,2.19,198
HJ중공업,0.5945,0.6785,0.5686,0.5381,1.91,206
미래에셋벤처투자,0.5938,0.9918,0.2389,0.5525,2.54,1842
지구홀딩스,0.5936,0.7316,0.3337,0.7173,1.79,14
NH투자증권,0.5934,0.8665,0.3645,0.5511,1.41,365
SK오션플랜트,0.5931,0.8038,0.6809,0.2963,0.39,224
현대제철,0.5929,0.9905,0.5093,0.2807,1.19,428
와이투솔루션,0.5917,0.6744,0.6829,0.4196,1.42,22
롯데웰푸드,0.5903,0.8706,0.5941,0.3079,0.19,22
포스코스틸리온,0.5897,0.451,0.715,0.6049,1.37,30
제이에스링크,0.5893,0.9714,0.3509,0.4475,2.19,80
마이크로컨텍솔,0.5883,0.2698,0.779,0.718,1.32,53
삼성SDI,0.5882,0.7262,0.5157,0.5245,2.6,4392
와이씨,0.5881,0.8433,0.5931,0.3297,1.29,157
나무가,0.5869,0.5286,0.7645,0.4693,1.08,16
KG에코솔루션,0.5868,0.8951,0.6818,0.1853,0.31,16
현대건설,0.5853,0.639,0.5943,0.5245,1.45,1414
삼영전자공업,0.5851,0.5954,0.6854,0.4762,0.81,27
하나머티리얼즈,0.5848,0.3638,0.6846,0.7078,1.95,200
하나마이크론,0.584,0.3733,0.4731,0.9074,2.65,1125
농심,0.5826,0.782,0.7032,0.2643,0.2,111
대한항공,0.5814,0.8896,0.5177,0.3386,0.73,708
한화시스템,0.5803,0.6485,0.691,0.4033,0.99,916
이노션,0.579,0.8569,0.6332,0.2486,0.62,57
아모그린텍,0.5788,0.2262,0.6617,0.8501,1.71,28
한화오션,0.5783,0.5831,0.5629,0.5906,0.77,2168
삼영,0.5778,0.2071,0.7242,0.8038,2.03,167
에코프로머티,0.5776,0.6812,0.5568,0.4966,1,332
DSC인베스트먼트,0.5774,0.9673,0.4512,0.3154,1.14,159
오이솔루션,0.5771,0.5708,0.4522,0.7098,2.15,201
