종목명,ROE,최종점수
오성첨단소재,11.48,6.89
대모,3.93,2.36
구영테크,14.66,8.79
HL D&I,2.65,1.59
라온피플,-46.44,-27.87
알서포트,1.86,1.12
케이비아이동국실업,11.77,7.06
에이피알,64.97,38.98
한솔아이원스,13.52,8.11
성우하이텍,8.58,5.15
태경산업,6.52,3.91
제이티,-0.61,-0.36
디에이테크놀로지,80.14,48.08
카카오게임즈,-11.94,-7.17
차이커뮤니케이션,4.31,2.59
에스트래픽,4.84,2.90
SK이터닉스,11.25,6.75
브이엠,14.75,8.85
노을,-77.70,-46.62
에스와이,-6.42,-3.85
휴네시온,11.30,6.78
메리츠증권,9.38,5.63
아스트,-2.88,-1.73
엔피케이,2.45,1.47
SK하이닉스,35.59,21.36
에스엠,26.45,15.87
한솔홀딩스,1.38,0.83
JW홀딩스,19.42,11.65
한국제지,-8.23,-4.94
효성 ITX,20.57,12.34
아이진,-35.16,-21.10
신한알파리츠,1.39,0.83
디오,-0.71,-0.43
에이프로,-17.54,-10.52
모아라이프플러스,-42.70,-25.62
SGA솔루션즈,32.08,19.25
시알홀딩스,-2.33,-1.40
나이스디앤비,11.18,6.71
삼영무역,9.20,5.52
사람인,34.37,20.62
드림라인,-3.41,-2.04
한진칼,4.65,2.79
프레스티지바이오파마,0.79,0.48
케이씨,5.21,3.12
엘앤씨바이오,-66.29,-39.78
대산F&B,34.16,20.49
CJ ENM,0.49,0.30
오름테라퓨틱,-32.06,-19.24
프리엠스,1.26,0.76
아진카인텍,3.60,2.16
신성델타테크,6.78,4.07
태웅로직스,-1.97,-1.18
바이브컴퍼니,-42.38,-25.43
올릭스,-10.49,-6.29
케이아이엔엑스,7.89,4.74
우리바이오,-3.89,-2.34
지엔코,-6.67,-4.00
아진전자부품,13.06,7.84
KC코트렐,-19.97,-11.98
서산,-2.79,-1.68
삼화왕관,3.62,2.17
에이럭스,-20.72,-12.43
덕산하이메탈,-34.15,-20.49
토박스코리아,-3.92,-2.35
큐로셀,-921.47,-552.88
에이유브랜즈,12.21,7.33
엣지파운드리,12.22,7.33
하이브,-7.16,-4.30
호전실업,6.12,3.67
신진에스엠,-0.53,-0.32
트윔,-4.94,-2.96
SKAI,-113.81,-68.28
현대모비스,7.45,4.47
두올,11.21,6.73
캠시스,-33.91,-20.34
모니터랩,1.74,1.04
메가스터디교육,17.85,10.71
포스코인터내셔널,8.15,4.89
삼일제약,-26.01,-15.61
형지엘리트,-1.45,-0.87
바텍,7.86,4.71
인바디,9.38,5.63
JW생명과학,12.97,7.78
GKL,10.66,6.40
에이직랜드,-48.04,-28.82
테라사이언스,-60.25,-36.15
CJ씨푸드,3.20,1.92
신도리코,1.88,1.13
한온시스템,-5.04,-3.02
투비소프트,4.35,2.61
아시아나항공,-35.28,-21.17
이지케어텍,6.26,3.76
명문제약,1.36,0.81
한국전력공사,17.57,10.54
케이씨씨,19.66,11.80
창해에탄올,8.99,5.39
세아제강지주,3.58,2.15
나이스정보통신,10.33,6.20
KX하이텍,3.08,1.85
신한카드,5.65,3.39
HD현대일렉트릭,36.00,21.60
제일약품,12.75,7.65
지씨셀,-143.67,-86.20
성호전자,35.84,21.51
팜스코,18.71,11.23
스타플렉스,4.87,2.92
와이즈넛,2.59,1.55
동국S&C,-0.90,-0.54
휴비스,0.94,0.56
케이사인,1.78,1.07
삐아,10.70,6.42
계룡건설산업,9.88,5.93
드래곤플라이,-159.72,-95.83
백금T&A,6.92,4.15
비디아이,24.66,14.80
SGC에너지,-12.49,-7.49
켐트로닉스,5.12,3.07
인카금융서비스,33.09,19.86
휴온스,10.18,6.11
엔시스,-13.32,-7.99
에스지헬스케어,3.84,2.30
메디포스트,-34.41,-20.65
씨에스베어링,11.12,6.67
씨에스윈드,3.34,2.00
삼표시멘트,5.19,3.11
메디톡스,3.45,2.07
삼성바이오로직스,23.95,14.37
테고사이언스,-13.95,-8.37
SK바이오사이언스,-2.76,-1.65
계양전기,-177.21,-106.32
나라엠앤디,4.34,2.60
SGC E&C,-22.53,-13.52
